simbolo,cenario,retorno_proximo,ganhos,perdas,is_ganho_futuro,dia1,dia2,dia3,dia4,dia5,dia6,dia7,dia8,dia9,media_is_ganho_futuro
ADAUSDT,+++,-0.001961999173895057,,-0.001961999173895057,0,0.00010862480990647683,0.019984794178342646,0.031200085187945925,,,,,,,0.4782608695652174
ADAUSDT,++++,-0.04667191807798354,,-0.04667191807798354,0,0.009572137008418746,0.030728809687000203,0.08212346226310552,0.040147480540762004,,,,,,0.4782608695652174
ADAUSDT,++++,0.031200085187945925,0.031200085187945925,,1,0.003065805321362136,0.004912127496998098,0.00010862480990647683,0.019984794178342646,,,,,,0.4782608695652174
ADAUSDT,++++,-0.001961999173895057,,-0.001961999173895057,0,0.004912127496998098,0.00010862480990647683,0.019984794178342646,0.031200085187945925,,,,,,0.4782608695652174
ADAUSDT,+++++,-0.001961999173895057,,-0.001961999173895057,0,0.003065805321362136,0.004912127496998098,0.00010862480990647683,0.019984794178342646,0.031200085187945925,,,,,0.4782608695652174
ADXUSDT,++,0.006906077348066253,0.006906077348066253,,1,0.0014025245441795509,0.014005602240896309,,,,,,,,0.5
ADXUSDT,++,0.00411522633744843,0.00411522633744843,,1,0.014005602240896309,0.006906077348066253,,,,,,,,0.5
ADXUSDT,++,-0.023224043715847076,,-0.023224043715847076,0,0.006906077348066253,0.00411522633744843,,,,,,,,0.5
ADXUSDT,+++,0.00411522633744843,0.00411522633744843,,1,0.0014025245441795509,0.014005602240896309,0.006906077348066253,,,,,,,0.5
ADXUSDT,+++,-0.023224043715847076,,-0.023224043715847076,0,0.014005602240896309,0.006906077348066253,0.00411522633744843,,,,,,,0.5
ADXUSDT,++++,-0.023224043715847076,,-0.023224043715847076,0,0.0014025245441795509,0.014005602240896309,0.006906077348066253,0.00411522633744843,,,,,,0.5
AEURUSDT,++,0.0388610647375256,0.0388610647375256,,1,0.0033962264150944055,0.013726965024445148,,,,,,,,1.0
AEVOUSDT,++,-0.026149684400360695,,-0.026149684400360695,0,0.02340823970037431,0.014638609332113584,,,,,,,,0.0
AIUSDT,++,-0.030064423765211012,,-0.030064423765211012,0,0.01319648093841641,0.01085383502170778,,,,,,,,0.0
AIXBTUSDT,++,0.015509601181683985,0.015509601181683985,,1,0.0007496251874063997,0.014232209737827572,,,,,,,,0.25
AIXBTUSDT,++,-0.0356363636363638,,-0.0356363636363638,0,0.014232209737827572,0.015509601181683985,,,,,,,,0.25
AIXBTUSDT,++,-0.006688963210702337,,-0.006688963210702337,0,0.015463917525773141,0.011844331641285955,,,,,,,,0.25
AIXBTUSDT,+++,-0.0356363636363638,,-0.0356363636363638,0,0.0007496251874063997,0.014232209737827572,0.015509601181683985,,,,,,,0.25
ALGOUSDT,++,-0.028759528759528807,,-0.028759528759528807,0,0.02264426588750923,0.030714285714285694,,,,,,,,0.1111111111111111
ALGOUSDT,++,-0.012624330527926664,,-0.012624330527926664,0,0.01304347826086949,0.019898556379243315,,,,,,,,0.1111111111111111
ALGOUSDT,++,-0.00305693542223906,,-0.00305693542223906,0,0.00158040300276574,0.03234714003944772,,,,,,,,0.1111111111111111
ALGOUSDT,++,-0.00038080731150036407,,-0.00038080731150036407,0,0.007698229407236301,0.0030557677616502854,,,,,,,,0.1111111111111111
ALGOUSDT,++,-0.012226750648388185,,-0.012226750648388185,0,0.01371428571428579,0.014280345734686062,,,,,,,,0.1111111111111111
ALGOUSDT,++,0.0007773027594248916,0.0007773027594248916,,1,0.012749003984063645,0.012195121951219523,,,,,,,,0.1111111111111111
ALGOUSDT,++,-0.02019417475728147,,-0.02019417475728147,0,0.012195121951219523,0.0007773027594248916,,,,,,,,0.1111111111111111
ALGOUSDT,++,-0.0024610336341263084,,-0.0024610336341263084,0,0.01002087682672248,0.00785448532451416,,,,,,,,0.1111111111111111
ALGOUSDT,+++,-0.02019417475728147,,-0.02019417475728147,0,0.012749003984063645,0.012195121951219523,0.0007773027594248916,,,,,,,0.1111111111111111
ALICEUSDT,++,-0.016431381624623875,,-0.016431381624623875,0,0.014911242603550257,0.00769589552238803,,,,,,,,0.75
ALICEUSDT,++,0.002604845011721757,0.002604845011721757,,1,0.025221357660316635,0.004710808688825008,,,,,,,,0.75
ALICEUSDT,++,0.004676539360872978,0.004676539360872978,,1,0.004710808688825008,0.002604845011721757,,,,,,,,0.75
ALICEUSDT,+++,0.004676539360872978,0.004676539360872978,,1,0.025221357660316635,0.004710808688825008,0.002604845011721757,,,,,,,0.75
ALPINEUSDT,++,-0.031734317343173335,,-0.031734317343173335,0,0.01599390708301618,0.015742128935532174,,,,,,,,0.25
ALPINEUSDT,++,0.0013844023996307797,0.0013844023996307797,,1,0.11838006230529596,0.5090529247910862,,,,,,,,0.25
ALPINEUSDT,++,-0.04516129032258054,,-0.04516129032258054,0,0.5090529247910862,0.0013844023996307797,,,,,,,,0.25
ALPINEUSDT,+++,-0.04516129032258054,,-0.04516129032258054,0,0.11838006230529596,0.5090529247910862,0.0013844023996307797,,,,,,,0.25
ALTUSDT,++,-0.027222777222777217,,-0.027222777222777217,0,0.020252498684902642,0.03222480020623886,,,,,,,,0.0
ALTUSDT,++,-0.006675938803894388,,-0.006675938803894388,0,0.021902017291066223,0.013818386914833836,,,,,,,,0.0
AMPUSDT,++,-0.004181913225300593,,-0.004181913225300593,0,0.001330494944119076,0.01674196120116922,,,,,,,,0.2857142857142857
